Date	Weather/Temperature	Supervisor	Observation	Inspector
2015/02/24	78 /sunny	Jeff Jiang	"TLC: Not on site.  
Southland Painting: Chipping sprawled concrete and fastening new rebar to existing wall inside wet well.
Gilmore electric: Pulling proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/02/26	78 /sunny	Jeff Jiang	"TLC: Foreman on site overseeing and assisting sub-contractors work.  
Southland Painting: Spraying cement epoxy on walls inside pump room.
Gilmore electric: Pulling proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/02/27	78 /sunny	Jeff Jiang	"TLC: Foreman on site overseeing and assisting sub-contractors work.  
Southland Painting: Spraying cement epoxy on walls inside pump room.
Gilmore electric: Pulling proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/02/04	74 /sunny	Jeff Jiang	"TLC: Did not locate crew  
Southland Painting: Crew on site,  crew continued chipping and removing concrete and exposing rebar in wet well.
Gilmore electric: No apparent personnel on site."	Gregory Mullenski
2015/02/06	74 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Crew on site, Blasting and epoxy coating rebar in wet well.
Gilmore electric: Crew on site, working on 4080 amp up grade in meter supply can."	Gregory Mullenski
2015/01/12	74 /sunny	Jeff Jiang	"TLC: Crew on site, stripped concrete forms for pipe support pedestal. Crew also started to form up slab for top floor.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box."	Gregory Mullenski
2015/01/13	74 /sunny	Jeff Jiang	"TLC: Crew on site, setting up scaffold to chip concrete  around piping on first floor.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
2015/01/14	74 /sunny	Jeff Jiang	"TLC: Crew on site, crew continued to chip concrete  around piping on first floor prep for concrete, and form around bottom pump base for concrete.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
2015/01/15	74 /sunny	Jeff Jiang	"TLC: Crew on site, Crew formed up bottom of top floor to prep for concrete install.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
2015/01/16	74 /sunny	Jeff Jiang	"TLC: Crew on site, Crew continued to form up bottom of top floor to prep for concrete install.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
2015/01/20	74 /sunny	Jeff Jiang	"TLC: Crew on site, crew poured/ install concrete in formed areas around piping on bottom and top floor.
Nutting Engineering on site to take cylinder test.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
2015/01/21	74 /sunny	Jeff Jiang	"TLC: Crew on site, stripped concrete forms around piping, and cleaned out concrete debri in dry well.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
2015/01/23	74 /sunny	Jeff Jiang	"TLC: Crew on site, continued to strip concrete forms around piping, and cleaned out concrete debri in dry well.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, installing and connecting electrical boxes on main floor"	Gregory Mullenski
2015/01/26	74 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, installing and connecting electrical boxes on main floor"	Gregory Mullenski
2015/01/28	74 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, installing and connecting electrical boxes on main floor"	Gregory Mullenski
2015/01/30	74 /sunny	Jeff Jiang	"TLC: Crew on site cleaning up job site and storm drain catch basin.
Southland Painting: Crew left before Inspector arrived on site
Gilmore electric: No apparent personnel on site."	Gregory Mullenski
2015/01/05	84 /sunny	Jeff Jiang	"TLC: Crew on site, completing  concrete forms for outside discharge pipe support. Concrete pour scheduled 1-6-15.
Inspector called nutting engineering in for cylinder test 10:30 A.M.
Southland Painting: Crew on site, chipping out old concrete in dry well
Gilmore electric: crew on site,  continued to install electrical supply boxes and conduit. “ first floor”"	Gregory Mullenski
2015/01/06	84 /sunny	Jeff Jiang	"TLC: Crew on site, pouring concrete for pipe support pedestals in dry well and back of pump station.
Southland Painting: Crew on site, chipping out old concrete in dry well
Gilmore electric: crew on site,  continued to install electrical supply boxes and conduit. “ first floor”"	Gregory Mullenski
2015/01/08	74 /sunny	Jeff Jiang	"TLC: Crew on site, stripped concrete forms for pipe support pedestal. Crew also started to  core drill through wet well wall. And clean out concrete from wet well bottom level.
Southland Painting: Crew on site, chipping out old concrete in bottom of wet  well.
Gilmore electric: crew on site,  continued to install electrical supply boxes and conduit. “ first floor”"	Gregory Mullenski
2015/01/09	74 /sunny	Jeff Jiang	"TLC: Crew on site, stripped concrete forms for pipe support pedestal. Crew also continued to core drill wall in wet well to dry well
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well.
Gilmore electric: crew on site, crew continued to install conduit in  building to electrical box."	Gregory Mullenski
2015/03/02	78 /sunny	Jeff Jiang	"TLC: Foreman on site overseeing and assisting sub-contractors work.  
Southland Painting: Spraying cement epoxy on walls inside pump room.
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/03	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Spraying cement silicate on walls inside pump room.
Note: Inspector verified with coating contractor that all third party NACE inspections for substrate, rebar, cement and final epoxy are being scheduled as per contract specifications. Carlos from Southland said they were complying. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/04	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Spraying cement silicate on walls inside pump room. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/05	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Spraying and hand trowel mortar tec silicate and part a & b Ceramico over silicate on walls inside pump room.
Note: Again inspector notified Southland contractor to follow all rehab coating contact specs in accordance with NACE inspection requirements etc… 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/06	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Spraying and hand trowel mortar tec silicate and part a & b Ceramico over silicate on walls inside pump room. 
Note: Inspector notified Southland contractor to follow all rehab coating contact specs in accordance with NACE inspection requirements etc… 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/09	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Spraying and hand trowel mortar tec silicate on walls inside wet well.  
Nace inspector performed inspection on ceramico coatings in the pump room and on substrate for proposed coatings in the wet well.
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/10	78 /sunny	Jeff Jiang	"TLC: GC on site overseeing sub-contractors.  
Southland Painting: Spraying and hand trowel mortar tec silicate on walls inside wet well.  
Pressure washing walls in dry well for proposed final epoxy coating.
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/11	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Hand trowel Uroflex epoxy tan first coat on walls inside dry well.  
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/12	78 /sunny	Jeff Jiang	"TLC: On site overseeing sub-contractors work.  
Southland Painting: Rolling Uroflex epoxy red second coat on walls inside dry well. Applying mortar tec silicate on ceiling inside wet well. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/13	78 /sunny	Jeff Jiang	"TLC: On site overseeing sub-contractors work.  
Southland Painting: Rolling Uroflex epoxy red second coat on walls inside dry well. Applying mortar tec silicate on ceiling inside wet well. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/16	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Rolling Uroflex epoxy red second coat on walls inside dry well. Applying mortar tec silicate on ceiling inside wet well. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/17	78 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Rolling Uroflex epoxy red second coat on walls inside dry well. Applying part a & b Ceramico over silicate on walls inside wet well. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/18	86 /sunny	Jeff Jiang	"TLC: Setting pumps in the dry well.  
Southland Painting: Rolling Uroflex epoxy red second coat on walls inside dry well. Applying part a & b Ceramico over silicate on walls inside wet well. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/19	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Rolling Uroflex epoxy red second coat on walls inside dry well. Applying part a & b Ceramico over silicate on walls inside wet well. 
Gilmore electric: Pulling and terminating proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/03/24	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, pressure washing top floor, to prep for painting.
Gilmore electric: crew not site at 2:00, electrical inspections passed by building dept."	Joseph Kalinowski/ Gregory Mullenski
2015/03/30	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, painting piping and valves.
Gilmore Electric: Installing coated rigid electrical conduit and pulling wiring to the dank tank."	Joseph Kalinowski
2015/03/31	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, painting piping and valves, touchup on coating in dry and wet well and site cleanup. NACE inspector on site yesterday performing final spark test on coatings.
Gilmore Electric: Installing coated rigid electrical conduit and pulling wiring to the dank tank."	Joseph Kalinowski
2015/05/01	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/04	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: Scheduled to meet today with COH and Engineer of record to discuss electrical punch list responsibilities.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/06	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: On site working on electrical punch list items throughout.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/07	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: On site working on electrical punch list items throughout.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/08	86 /sunny	Jeff Jiang	"TLC: On site conducting lift station start up.
Gilmore Electric: On site for lift station startup.
CC Controls: On site for lift station start up.
Flyght: On site for lift station startup.Initial start up the impeller set to low and was adjusted by pump mechanic from flight.
Note: Unable to complete startup due to failure with the emergency generator transfer switch.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/11	86 /sunny	Jeff Jiang	"TLC: On site meeting with TASC swapping starter part in emergency transfer switch for generator.
Gilmore Electric: On site setting floats in wet well.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/12	86 /sunny	Jeff Jiang	"TLC: No apparent activity or personnel on site.
Gilmore Electric: No apparent activity or personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/13	86 /sunny	Jeff Jiang	"TLC: No apparent activity or personnel on site.
Gilmore Electric: No apparent activity or personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/14	86 /sunny	Jeff Jiang	"TLC: On site in am for generator manual transfer test.
Gilmore Electric: On site in am for generator manual transfer test.
Note: Transfer test and communication to scada test failed.
CC Controls & ASCO: On site from 3:00pm until 5:00pm. Switched control wiring in the RTU and generator transfer panel and corrected the automatic transfer switch and communication issues. Station is now switching automatically on power failure and sending alarm to scada.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/15	86 /sunny	Jeff Jiang	"TLC: On site in afternoon for generator manual transfer and pump remote test.
Gilmore Electric: Not on site.
Note: Transfer and pump test passed but the ultrasonic sensor test failed and station remained on bypass throughout weekend under contractor’s control. Final testing to resume next week.
CC Controls & ASCO: On site in afternoon for testing. During testing it was discovered that a communication era continued to the scada. The radio antenna connection was sealed with black tape with moisture inside. The antenna was replaced, the connection was dried and a rubber shrink wrap moisture protector was placed over the connection. This resolved the communication era.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/05/19	86 /sunny	Jeff Jiang	"TLC: On site demobilizing equipment and general site cleanup. Sub-contractor Thompson Pumps on site demobilizing by-pass pumps.
Gilmore Electric: Not on site.
CC Controls & ASCO: Not on site.
Construction work substantially complete. 
This is the field inspector’s final report. See pending punch list work and Building permit for closure.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
